customer_id,join_date,age,gender,region_code,is_married,prefer_category,income_group
C000001,2020-04-12,36,F,R03,1,Grocery,G4
C000002,2021-03-11,32,F,R02,0,Home,G3
C000003,2022-05-10,41,M,R03,1,Fashion,G3
C000004,2020-09-27,23,F,R02,1,Electronics,G3
C000006,2020-03-12,31,F,R04,0,Grocery,G3
C000010,2020-05-01,25,F,R04,0,Home,G1
C000011,2021-04-11,26,F,R04,1,Home,G2
C000012,2020-08-02,38,F,R07,1,Grocery,G3
C000014,2021-04-03,19,M,R03,1,Fashion,G4
C000015,2020-03-28,45,F,R06,1,Grocery,G5
C000016,2021-01-07,22,F,R01,1,Beauty,G5
C000017,2020-04-09,32,M,R07,1,Beauty,G4
C000018,2022-05-21,25,F,R07,0,Fashion,G2
C000019,2021-10-25,25,M,R04,0,Electronics,G1
C000020,2020-05-10,39,M,R06,0,Home,G3
C000021,2021-10-23,28,M,R01,0,Grocery,G3
C000022,2020-11-04,33,F,R06,1,Grocery,G2
C000023,2022-02-08,19,F,R02,1,Fashion,G3
C000026,2021-02-17,51,F,R05,1,Home,G5
C000027,2022-03-16,50,F,R06,1,Beauty,G1
C000029,2020-07-10,33,F,R03,0,Grocery,G2
C000030,2022-08-13,36,F,R03,1,Fashion,G4
C000031,2020-10-03,25,F,R06,0,Home,G4
C000032,2020-06-09,36,F,R01,1,Home,G2
C000033,2021-04-04,22,M,R02,1,Home,G4
C000034,2020-11-09,51,F,R07,1,Electronics,G3
C000037,2022-01-17,29,M,R07,0,Fashion,G3
C000038,2022-05-06,48,M,R03,0,Grocery,G2
C000039,2021-07-14,19,F,R01,0,Electronics,G3
C000041,2020-02-28,37,M,R01,1,Home,G4
C000043,2021-11-12,21,F,R06,1,Home,G3
C000044,2021-04-20,50,F,R04,1,Grocery,G2
C000045,2021-11-30,48,F,R07,1,Grocery,G1
C000046,2022-09-02,49,F,R04,0,Fashion,G2
C000047,2022-02-21,29,F,R03,1,Beauty,G1
C000048,2020-07-08,40,F,R03,1,Electronics,G2
C000049,2022-08-15,45,F,R03,1,Grocery,G4
C000050,2021-11-17,39,F,R07,0,Grocery,G5
C000051,2022-08-15,39,F,R01,1,Grocery,G5
C000052,2021-07-16,41,M,R02,1,Beauty,G2
C000053,2022-05-25,28,F,R02,0,Electronics,G3
C000056,2022-04-11,29,M,R02,0,Fashion,G4
C000057,2021-05-19,39,M,R03,1,Grocery,G4
C000058,2020-05-10,21,M,R07,0,Beauty,G3
C000059,2021-04-29,33,F,R06,1,Beauty,G2
C000060,2022-03-29,52,M,R04,1,Electronics,G3
C000061,2021-10-08,38,M,R01,0,Home,G3
C000062,2020-01-21,49,M,R05,0,Grocery,G2
C000063,2022-04-20,54,M,R06,0,Electronics,G4
C000064,2020-06-15,45,F,R07,1,Grocery,G2
C000065,2020-09-30,40,F,R07,1,Home,G2
C000066,2021-01-22,34,M,R06,1,Fashion,G3
C000067,2021-08-23,33,M,R03,1,Home,G3
C000068,2020-11-11,32,F,R05,1,Electronics,G3
C000069,2020-01-14,48,M,R05,1,Beauty,G3
C000070,2020-08-29,38,F,R03,0,Electronics,G3
C000072,2020-12-11,54,M,R05,0,Beauty,G4
C000073,2021-07-18,57,F,R03,1,Grocery,G2
C000074,2022-06-16,43,F,R05,1,Electronics,G1
C000075,2020-12-05,43,M,R04,1,Home,G4
C000077,2021-01-01,46,F,R06,0,Beauty,G2
C000078,2022-08-13,26,M,R04,1,Grocery,G3
C000079,2021-03-30,37,M,R02,0,Electronics,G4
C000080,2021-03-03,24,M,R05,1,Home,G2
C000082,2022-02-14,39,F,R05,1,Home,G2
C000083,2022-07-31,25,F,R06,1,Home,G5
