customer_id,credit_score,num_active_cards,total_deposit_balance,total_loan_balance,card_cash_service_amt,card_loan_amt,fin_overdue_days,fin_asset_trend_score
C000001,713,6,2517740,58608891,100572,65339,0,0.5511072680409168
C000002,869,5,679696,33403843,210018,0,0,-0.342775804965215
C000003,588,2,17319511,0,4092,0,1,-0.9490028487755506
C000004,742,3,984771,0,0,0,0,-0.3484092405327603
C000006,611,5,1098491,1668819,0,238071,0,0.64792198715058
C000010,770,3,163494,0,0,0,2,-1.037465635019386
C000011,583,6,1973260,0,105318,0,0,0.7515714040695028
C000012,801,4,2519654,0,0,0,2,-1.0417186673563863
C000014,806,5,715741,533682,0,0,0,0.2505070128315037
C000015,1000,2,50166298,4255090,0,0,0,-0.9315873503761505
C000016,785,2,15926747,14728040,0,258179,0,-0.13094091150527992
C000017,882,5,952365,9496443,0,0,0,-0.1968407714022047
C000018,716,3,3398211,665006,0,0,1,-0.2915189500710195
C000019,810,4,41056521,0,0,0,0,0.377329845676565
C000020,661,5,3127742,0,0,0,0,0.23629272143028193
C000021,893,3,6074879,0,0,0,1,1.9521974690635453
C000022,748,4,2604049,11295889,0,39592,1,-0.7089059082798082
C000023,799,6,19335699,0,0,0,0,-0.42951075307840225
C000026,534,5,69066915,0,0,0,1,0.36228916789596244
C000027,745,6,29251,0,0,588549,0,0.415599766371226
C000029,698,3,177514006,11552583,0,0,0,0.40262235292961346
C000030,851,3,35003915,0,0,0,0,0.5495538300234547
C000031,735,4,2154432,0,0,332280,1,0.5960034629101473
C000032,769,4,1036827,0,28146,0,1,0.22096126169216576
C000033,941,2,1799579,0,0,0,0,-2.651621980468483
C000034,706,3,3088648,0,0,0,0,1.2076204281432703
C000037,644,4,1245925,175189574,0,0,0,-1.5172849402571855
C000038,637,6,958387,17451101,35510,0,1,-0.47474160034405377
C000039,814,2,3833706,0,0,857399,1,-0.6153189471617626
C000041,718,6,4323478,0,0,261430,0,2.233710492208358
C000043,778,6,56482010,0,0,0,0,0.43146187100308364
C000044,797,5,4272723,39429074,0,0,0,1.551268252608528
C000045,678,6,7799387,0,0,0,1,-0.2254577487145672
C000046,739,5,99560424,7968697,0,0,0,0.3501978439485893
C000047,762,6,628547,0,389519,0,0,-0.3818681187113915
C000048,627,4,12633775,0,0,952447,0,0.5244071374710836
C000049,644,2,1322507,51366338,0,0,0,-0.23938710908865404
C000050,847,2,1893594414,0,0,0,0,-1.103535288108673
C000051,648,3,3175502,0,0,0,0,-0.8192683275305805
C000052,773,1,8412220,0,133661,0,0,0.3987391442590853
C000053,901,3,237316,0,0,0,0,-1.7134930377380395
C000056,732,1,1338926,0,0,254670,0,1.9043703905722635
C000057,919,1,5393495,62787640,0,205969,1,1.829115721687244
C000058,705,2,30561,18900314,0,0,0,-1.3898303032259307
C000059,714,6,2556760,10559990,138519,0,0,0.11826842716085453
C000060,735,2,53237144,0,0,0,0,-0.031044178339260584
C000061,751,1,2977837,59948901,0,0,0,0.3865433244115454
C000062,853,4,28766037,986243,0,0,1,0.11012440476662638
C000063,613,2,23469064,26029029,0,187179,1,-0.09835469210085555
C000064,770,1,812731,5847214,0,0,1,-1.0991271448568503
C000065,921,2,15259897,29487381,0,0,1,0.426394608368304
C000066,897,6,275344434,0,0,0,1,-0.039483966333823194
C000067,927,2,1464617,0,0,0,0,-0.589516326992539
C000068,820,5,26655083,4469653,0,0,0,-0.08143230336361779
C000069,814,5,160228,495989,0,0,0,-1.2320289735089587
C000070,731,6,45947516,0,0,0,1,-1.9414868438754147
C000072,796,4,38405071,9143582,0,0,1,-0.847013774439589
C000073,765,1,4971428,0,0,0,2,-2.58573947027855
C000074,767,4,12404687,23803626,0,0,0,-0.4037954729550173
C000075,824,3,1839150,0,0,0,0,0.7529151261405306
C000077,597,3,980608,0,0,0,1,-0.5819247372077541
C000078,892,4,451520,11210880,0,0,0,-1.0372686410770304
C000079,826,6,319368,0,0,0,2,-1.1204981886784242
C000080,860,3,4959567,0,149288,0,1,0.589366352416523
C000082,627,2,4378898,0,0,0,0,0.11311557509482129
C000083,660,1,2801871,1788508,8968,0,1,-1.1844712735275127
C000085,622,4,39065732,0,0,0,1,0.7138513972417414
C000086,811,1,42357,0,0,0,0,-0.06686626471558829
C000087,724,3,1380701,0,0,0,1,0.09982295585524145
C000090,869,6,3064577,0,0,0,0,-0.031669479615636584
C000091,734,2,78591073,0,0,0,0,-1.2706222400307714
C000092,672,6,793208,7981951,0,0,0,0.9938492701571214
C000093,583,2,2618094,0,0,0,0,0.049519779032832056
C000094,870,4,133876545,11438387,0,0,0,1.1899168823101984
C000095,820,5,15112346,4216213,0,0,0,-2.0796712776181305
C000097,711,1,4100247,2037163,0,0,1,0.5993142572097219
C000100,838,6,6838605,0,81781,0,0,-1.9650269202105313
C000101,718,6,3417847,0,0,0,0,-0.8178212133133721
C000106,838,2,109557634,0,0,104294,1,-0.368561271218092
C000108,619,5,1469318,0,8798,0,0,-0.3604403730218577
C000109,793,5,1797116,7998264,73313,51528,0,0.5926178391340168
C000112,584,3,5650844,0,0,168860,1,-1.5356840899723676
C000113,932,5,535802,11378803,0,290224,0,1.1418436962726473
C000114,743,4,16564815,0,0,0,1,0.649657517874384
C000117,688,6,6183592,10092323,0,0,0,-0.7338109633142491
C000118,701,3,8481029,12850897,0,0,0,-0.6136057211054845
C000119,610,4,26445233,0,187027,0,2,0.42625063745335023
C000120,954,1,255224,32265033,0,0,0,-0.44170138554879623
C000122,439,2,368113,0,0,2356504,2,-0.5517258318786394
C000124,712,5,2073518,0,0,0,0,-1.546169970118462
C000126,554,4,2937561,71617118,0,410491,0,0.2296047880718933
C000127,786,4,79853641,0,0,0,0,-1.7910130874949732
C000130,756,2,106520,0,0,109307,0,-0.6028258640891936
C000131,953,6,2471690,0,0,0,1,-1.138178645899584
C000132,739,2,5140032,3109297,0,376536,1,0.15773937454614403
C000133,694,2,33426740,0,0,0,0,-0.20029755711601777
C000134,810,6,264661,41512787,0,0,1,-0.06252629749828365
C000137,684,5,158093188,128805368,0,0,0,0.2949724266888182
C000139,628,2,12492841,0,0,0,0,1.3112291839894574
C000140,758,6,286088,0,0,0,1,0.7175280157363643
C000142,840,3,3699237,0,0,10690,0,-1.2578318461611588
C000144,695,1,4897123,35748660,0,0,0,-0.5013694666135052
C000146,646,6,2540849,986942,0,0,2,0.6105415773600206
C000147,755,1,21021379,25074407,14466,0,1,-0.33333791819155845
C000149,606,3,2180722,31787541,0,0,0,-0.11974004608101749
C000153,716,1,151237336,17195587,0,667438,0,0.5853307609056687
C000154,592,3,2760204,414383,0,0,0,0.2935803990679692
C000155,695,4,1294751,1453841,0,0,0,0.9919922368046338
C000156,804,6,560142,0,0,0,2,-1.57497579397879
C000158,563,3,1900249,4806369,85074,0,1,-0.24689152062317987
C000160,701,5,5558518,0,93940,0,2,-1.5001828160488127
C000163,596,6,2726546,0,0,0,1,1.4832083195100134
C000164,726,5,1405189,4049299,0,0,0,1.5675811640391208
C000165,873,6,5155796,0,0,0,0,-0.6124416037952213
C000166,652,5,160697,55283116,0,479798,0,-0.7834168309949986
C000167,575,2,341027,11775614,0,0,2,1.6023832830814222
C000168,814,1,3947624,0,0,0,0,-1.5355779024239715
C000169,651,2,3839357,55698558,0,0,1,1.1766627143790478
C000170,713,5,2917097,0,0,0,0,-0.22196735321805433
C000172,937,3,59807635,0,0,705223,0,-1.0066501914204022
C000174,646,2,214323,0,0,0,1,1.4879327807478686
C000175,898,6,2738391,0,0,0,0,-1.2063732800913944
C000178,986,6,552664,0,0,0,1,-0.001551980209259285
C000179,715,3,4622684,1254403,0,0,0,-0.7477861500894185
C000182,753,5,975164,15508324,0,0,1,-0.16357114398162828
C000184,772,6,12672103,4654092,0,0,1,-1.6334751786817905
C000185,816,4,5520123,0,58211,0,0,-1.850247251052378
C000186,730,6,967873,68617159,40056,398197,0,0.19812052615014994
C000189,841,4,198842,0,0,0,0,0.3698860785701089
C000190,816,5,4447812,10692497,0,0,0,-1.4536917278001884
C000193,849,1,2889677,869653,0,0,0,-1.4297121429982789
C000194,720,3,503274,0,0,0,0,0.8893913346139838
C000201,747,6,485566,49188753,0,0,1,-1.6434718514308453
C000202,889,3,6594078,0,0,205994,0,0.3172975368898252
C000204,891,5,5392107,0,0,0,0,0.8275052005135825
C000205,703,2,4212766,4089590,0,0,1,-0.626694443926977
C000206,870,4,13557725,54175855,0,0,0,2.610266227743666
C000207,707,3,19686929,0,0,0,0,0.2769547912288838
C000208,652,3,155684659,10102415,0,0,1,-0.6217789917464586
C000210,725,3,3736311,639488,0,0,0,1.2715519099943706
C000212,640,5,5346427,1042600,0,0,0,1.3167090627535694
C000214,738,3,2621441,0,0,0,0,-0.024997298770132265
C000215,626,3,1820828,3085797,0,0,0,0.09634815154861301
C000216,785,1,1173545,1802012,0,0,0,-0.4755405871255455
C000217,937,1,989228,16548754,0,23593,0,-0.6509830987365093
