customer_id,target_churn,target_ltv
C000001,0,556691.0
C000002,0,1460203.0
C000003,0,605476.0
C000004,0,1034150.0
C000006,1,76083.15000000001
C000010,1,16507.75
C000011,0,2560300.0
C000012,0,363882.0
C000014,0,309288.0
C000015,0,1239454.0
C000016,0,897680.0
C000017,0,1733028.0
C000018,0,78482.0
C000019,0,1549157.0
C000020,0,19257.0
C000021,0,1030026.0
C000022,0,2135607.0
C000023,0,1617566.0
C000026,0,880904.0
C000027,1,25027.45
C000029,0,4158340.0
C000030,0,1775996.0
C000031,0,937637.0
C000032,0,1408795.0
C000033,0,72846.0
C000034,0,987799.0
C000037,0,975964.0
C000038,0,579642.0
C000039,0,1287293.0
C000041,0,153616.0
C000043,0,959947.0
C000044,0,337791.0
C000045,0,296437.0
C000046,0,1597095.0
C000047,0,823582.0
C000048,0,3284088.0
C000049,0,558266.0
C000050,0,1405295.0
C000051,0,1253568.0
C000052,0,2260592.0
C000053,1,77590.40000000001
C000056,0,270836.0
C000057,0,506991.0
C000058,0,1015597.0
C000059,1,80183.6
C000060,0,1072625.0
C000061,0,822394.0
C000062,0,6928050.0
C000063,0,306480.0
C000064,0,1960765.0
C000065,0,1961814.0
C000066,0,1928386.0
C000067,0,675299.0
C000068,0,609635.0
C000069,1,61534.8
C000070,1,7950.200000000001
C000072,0,192533.0
C000073,0,920836.0
C000074,0,268210.0
C000075,0,555918.0
C000077,0,748861.0
C000078,0,270863.0
C000079,0,3101659.0
C000080,0,1617835.0
C000082,0,4006477.0
C000083,0,386162.0
C000085,0,2090495.0
C000086,0,3073504.0
C000087,0,955327.0
C000090,0,60712.0
C000091,0,1511154.0
C000092,0,886030.0
C000093,0,4300543.0
C000094,0,3100.0
C000095,0,641308.0
C000097,0,246498.0
C000100,0,1021777.0
C000101,0,639740.0
C000106,0,1686482.0
C000108,0,1357729.0
C000109,0,1674497.0
C000112,1,16611.5
C000113,0,737436.0
C000114,0,46030.0
C000117,0,1029818.0
C000118,0,344584.0
C000119,0,32622.0
C000120,0,1478395.0
C000122,1,7837.200000000001
C000124,0,8110.0
C000126,0,129044.0
C000127,0,70067.0
C000130,1,14955.0
C000131,0,52415.0
C000132,0,369622.0
C000133,0,1358309.0
C000134,0,2376793.0
C000137,0,233700.0
C000139,0,613171.0
C000140,0,234760.0
C000142,0,812904.0
C000144,0,897627.0
C000146,0,263197.0
C000147,0,89575.0
C000149,0,384189.0
C000153,0,815511.0
C000154,0,376742.0
C000155,0,1270135.0
C000156,0,1088161.0
C000158,0,3386443.0
C000160,1,17229.05
C000163,1,7181.5
C000164,0,684889.0
C000165,0,2051598.0
C000166,1,11332.5
C000167,0,812584.0
C000168,0,402495.0
C000169,0,3083930.0
C000170,0,1306584.0
C000172,0,1126044.0
C000174,0,502465.0
C000175,1,203331.15000000002
C000178,0,55601.0
C000179,0,80395.0
C000182,0,2660854.0
C000184,0,1479118.0
C000185,0,2105894.0
C000186,1,769.0
C000189,0,497530.0
C000190,0,2532022.0
C000193,0,558554.0
C000194,0,56201.0
C000201,0,1563710.0
C000202,0,3032436.0
C000204,0,1241747.0
C000205,0,1058474.0
C000206,0,514818.0
C000207,0,247293.0
C000208,0,1679607.0
C000210,0,758156.0
C000212,0,447990.0
C000214,0,551052.0
C000215,0,953413.0
C000216,0,1305409.0
C000217,0,523610.0
C000218,0,173621.0
C000219,0,657065.0
C000221,0,1776343.0
C000224,0,1830355.0
C000228,0,163631.0
C000229,0,5544461.0
C000230,0,210238.0
C000231,0,703620.0
C000232,0,1595877.0
C000233,0,340726.0
C000234,0,602322.0
C000235,0,1078986.0
C000236,0,382948.0
C000237,0,4811734.0
C000239,0,499680.0
C000241,0,3519202.0
C000242,0,1055515.0
C000244,0,963198.0
C000245,0,474631.0
C000247,0,434538.0
C000248,0,205918.0
C000250,0,2044234.0
C000253,0,969598.0
C000255,0,570300.0
C000256,0,4592.0
C000258,0,904575.0
C000259,0,1438606.0
C000260,1,7890.05
C000261,0,1410610.0
C000263,0,1792121.0
C000264,0,1114638.0
C000270,0,12331.0
C000273,0,399264.0
C000276,0,1090916.0
C000277,0,636492.0
C000280,0,388061.0
C000282,0,397997.0
C000283,0,59832.0
C000285,0,323963.0
C000287,0,1333449.0
C000288,0,1164570.0
C000290,0,523022.0
C000291,0,1423676.0
C000293,0,482187.0
C000294,1,305144.25
C000295,0,596886.0
C000297,0,1429488.0
C000299,1,11378.75
C000300,0,3385720.0
C000302,0,3915086.0
C000303,0,1326252.0
C000304,0,6478778.0
C000307,0,1943681.0
C000308,1,27367.4
C000309,0,238103.0
C000311,0,368398.0
C000312,0,3045133.0
C000316,0,620427.0
C000317,0,50759.0
C000318,1,809.6
C000319,0,2904811.0
C000320,0,3862292.0
C000321,0,533938.0
C000323,0,423564.0
C000325,0,4636658.0
C000328,0,465319.0
C000330,0,1027817.0
C000332,0,262922.0
C000333,0,389341.0
C000335,0,1292738.0
C000337,0,2887803.0
C000338,0,3550630.0
C000339,0,6963745.0
C000340,0,128624.0
C000341,0,1180252.0
C000344,0,1859547.0
C000347,0,1226174.0
C000349,0,661440.0
C000350,0,277894.0
C000351,0,1367659.0
C000353,0,885267.0
C000358,0,577259.0
C000359,0,2144158.0
C000361,0,3504741.0
C000362,0,3738721.0
C000364,0,1559494.0
C000365,0,694622.0
C000367,0,702309.0
C000368,0,1927959.0
C000369,0,1045081.0
C000371,0,778767.0
C000372,0,527424.0
C000373,0,1099460.0
C000376,0,885912.0
C000377,0,3593396.0
C000378,0,776471.0
C000382,0,5230398.0
C000383,0,93102.0
C000385,0,522690.0
C000386,0,1562005.0
C000387,0,2663113.0
C000388,1,243251.6
C000389,0,286095.0
C000390,0,3121742.0
C000391,0,2409690.0
C000392,0,422783.0
C000393,0,652159.0
C000394,0,1585927.0
C000395,0,585637.0
C000396,0,367881.0
C000397,0,500375.0
C000398,1,62790.450000000004
C000404,0,165666.0
C000405,0,1247735.0
C000406,0,2117321.0
C000409,0,2414602.0
