iter	Passed	Remaining
0	9	19358
1	18	18849
2	28	18732
3	36	18237
4	45	18294
5	54	18258
6	64	18258
7	70	17590
8	78	17361
9	87	17399
10	96	17489
11	106	17659
12	115	17663
13	124	17699
14	133	17651
15	141	17584
16	150	17524
17	159	17590
18	168	17604
19	176	17445
20	183	17269
21	192	17307
22	199	17115
23	208	17147
24	216	17131
25	225	17123
26	232	16963
27	239	16834
28	248	16871
29	257	16879
30	262	16698
31	268	16487
32	273	16311
33	282	16313
34	291	16351
35	300	16383
36	309	16403
37	318	16419
38	325	16389
39	334	16389
40	343	16393
41	348	16235
42	355	16196
43	364	16189
44	372	16200
45	380	16173
46	388	16138
47	396	16115
48	405	16131
49	412	16100
50	421	16109
51	430	16125
52	439	16135
53	447	16139
54	455	16123
55	464	16110
56	472	16117
57	481	16108
58	489	16106
59	498	16111
60	506	16107
61	514	16088
62	523	16105
63	530	16042
64	539	16065
65	548	16075
66	555	16032
67	564	16052
68	573	16038
69	581	16029
70	591	16067
71	601	16104
72	610	16102
73	618	16094
74	627	16110
75	635	16098
76	644	16097
77	653	16096
78	662	16099
79	667	16022
80	675	16011
81	684	16020
82	694	16031
83	703	16035
84	709	15973
85	718	15982
86	726	15975
87	734	15958
88	743	15964
89	752	15976
90	759	15938
91	767	15921
92	774	15878
93	782	15863
94	789	15826
95	797	15823
96	807	15833
97	814	15809
98	823	15811
99	832	15814
100	838	15759
101	846	15760
102	851	15682
103	859	15675
104	869	15687
105	875	15651
106	884	15647
107	891	15615
108	897	15569
109	906	15569
110	912	15534
111	920	15524
112	929	15529
113	938	15521
114	946	15519
115	954	15509
116	960	15462
117	969	15463
118	978	15474
119	986	15456
120	995	15462
121	1004	15466
122	1013	15472
123	1021	15460
124	1030	15455
125	1039	15458
126	1048	15459
127	1056	15449
128	1064	15440
129	1070	15402
130	1079	15399
131	1088	15400
132	1096	15385
133	1104	15383
134	1112	15373
135	1121	15364
136	1128	15340
137	1136	15337
138	1144	15324
139	1154	15343
140	1163	15337
141	1171	15330
142	1180	15329
143	1189	15333
144	1199	15342
145	1209	15355
146	1218	15355
147	1223	15308
148	1231	15300
149	1238	15276
150	1247	15274
151	1255	15269
152	1264	15263
153	1273	15263
154	1280	15243
